nodeId	predictedValue	name
23	68165.58776	12270007
31	40722.478820000004	12250001
35	1296.69453	12240002
41	94664.04379	12230006
46	80655.87646999999	12210004
58	48656.692440000006	12180004
59	15716.10845	12180003
68	9006.16877	12140001
69	5770.335870000001	12140002
70	159860.62472999998	12140003
71	73706.55908	12140004
72	6600.67694	12140006
73	159861.09263	12140007
74	86645.12073	12140008
75	8972.988870000001	12140005
76	176473.87128999998	12130001
77	61256.53441	12130002
78	47506.753000000004	12120003
79	9480.14172	12120004
80	45232.24983	12120005
81	8985.5311	12120006
82	52396.845409999994	12120007
83	14149.67665	12120008
84	96582.23918	12120009
85	83512.13812	12120010
86	45408.987629999996	12120011
87	68191.35699	12120012
88	55747.90163	12120013
89	84446.21152	12120014
90	15936.254620000002	12120015
91	24095.404560000003	12120016
92	9104.039999999997	12120017
93	74401.91055	12120018
94	68523.10184	12120019
95	68733.49671	12120020
96	32557.024540000002	12120021
97	68523.10184	12120022
98	71643.69896	12120023
99	52339.560190000004	12120002
100	89596.77131	12120024
101	96675.88953	12120001
102	99871.43295	12120025
103	84667.94754000001	12120026
104	85174.35042	12120027
105	8046.2909899999995	12120028
106	114348.83168999999	12120029
107	2686.5969700000005	12120030
108	8006.728660000001	12120031
109	38411.04488	12120032
110	19227.338639999994	12110005
111	44944.752689999994	12110001
112	62338.08560999999	12110002
113	39258.85911	12110003
114	2277.17844	12110004
115	11025.956390000001	12110006
118	27885.893239999994	12090001
121	11750.773799999999	12060001
122	37691.0149	12060002
123	38778.35405999999	12060003
124	26047.60243	12060004
125	5387.317150000001	12060005
126	24462.50405	12060006
127	25835.941329999998	12060007
128	21648.749999999993	12060008
134	26322.99947999999	12050005
159	16224.99423	12030002
160	7662.03698	12020002
161	7715.895049999999	12020001
162	143747.43648	12010001
163	20528.451100000002	12010002
170	31719.899690000002	11980001
171	10772.219900000002	11980002
172	22193.416149999997	11980003
173	630.86668	11980004
174	25443.10545	11980005
175	2162.3474400000005	11980006
176	1063.0276899999994	11980007
177	22059.892959999997	11980008
178	23076.583869999995	11980009
179	9033.085840000002	11980010
180	715.26211	11980011
181	6407.26948	11980012
182	18519.154840000007	11980013
183	70083.79742	11980014
184	21988.587789999998	11980015
185	21409.47393	11980016
186	2303.15506	11980017
187	441.50396	11980018
188	21214.64343	11980019
189	489.68205000000006	11980020
190	2477.17504	11980021
191	21214.64343	11980022
192	28048.50324	11980024
193	7372.0669499999985	11980023
194	31986.08376	11970007
195	21067.690580000002	11970008
196	32408.801750000002	11970009
197	7360.575999999999	11970010
198	22193.416149999997	11970011
199	2276.87676	11970012
200	89151.13012999999	11970013
201	22129.51911	11970014
202	35896.53455	11970015
203	1839.2991699999998	11970016
204	16656.557480000003	11970017
205	21231.53133	11970018
206	69877.75405	11970019
207	1209.9805399999996	11970020
208	895.5477899999998	11970006
209	21226.846129999998	11970005
210	1063.0276899999994	11970003
211	3432.5665200000003	11970001
212	9190.73826	11970002
213	22906.4452	11970004
214	436.03618000000006	11960001
216	4411.121069999999	11940001
223	29262.80947	11890001
224	28992.575200000003	11890002
225	5492.38821	11890003
226	72875.65473	11890004
227	22937.547010000002	11890005
228	47488.388450000006	11890006
229	36022.37578	11880002
230	8663.08915	11880001
231	4039.08502	11880005
232	185612.55803000001	11880006
233	20401.72064	11880007
234	154487.62617	11880008
235	3725.2284999999997	11880004
236	3244.17639	11880003
237	3993.9935100000002	11870001
238	7871.870209999999	11870002
248	196474.06540000002	11830001
249	21292.280329999998	11830002
250	41873.978489999994	11830003
251	26208.400360000003	11820001
253	16622.18926	11800001
254	19765.44655	11800002
257	196454.60635000002	11780008
258	196454.60635000002	11780007
285	18004.45102	11720002
290	163247.90819000002	11710001
299	55462.29121000001	11700009
300	15447.664899999998	11700010
311	23436.22604	11680001
313	11530.75425	11660001
419	39283.20013	11570001
421	23643.571099999994	11570003
422	140885.81629999998	11570004
423	10752.67008	11570005
424	16642.459759999998	11570006
425	41407.06259	11570007
426	7823.80957	11570008
463	9633.80203	11550030
464	74551.40085	11550009
465	6600.044070000001	11550010
466	6562.659800000001	11550011
467	9463.81892	11550012
468	7065.1424	11550013
469	8942.71489	11550014
470	6958.096059999999	11550015
471	72797.31727999999	11550016
472	20858.27609	11550017
473	5665.598370000001	11550018
474	7101.75871	11550019
475	6567.64834	11550020
476	73143.70517	11550021
477	8303.12243	11550022
478	72903.92195	11550023
479	5375.35093	11550024
480	6600.044070000001	11550025
481	6690.025230000001	11550026
482	8927.896929999999	11550027
483	28513.930790000006	11550028
484	4807.81257	11550029
485	6940.60919	11550008
486	74403.91797	11550007
487	7593.335530000001	11550006
488	6897.98701	11550005
489	7065.15862	11550001
490	74500.04756	11550002
491	9824.68917	11550003
492	7061.529339999999	11550004
493	8003.9218599999995	11550058
494	7374.51923	11550059
495	7374.51923	11550060
496	8147.1073799999995	11550061
497	7139.46115	11550062
498	15984.960129999998	11550063
499	8936.62267	11550064
500	6531.585300000001	11550065
501	6600.044070000001	11550066
502	74792.56585	11550067
503	8037.54902	11550068
504	95936.31799	11550069
505	4621.517460000001	11550070
506	4844.620100000001	11550071
507	5186.45057	11550072
508	69041.64538	11550073
509	160643.19846	11550074
510	157334.51051	11550075
511	157039.62008	11550076
512	160966.59869	11550077
513	73144.19688	11550078
514	7724.13665	11550057
515	9024.181129999999	11550079
516	7642.003449999999	11550056
517	24899.14889	11550054
518	6618.56877	11550033
519	24132.778459999998	11550034
520	23744.22241	11550035
521	24132.786449999996	11550036
522	79188.23234999999	11550037
523	10183.925169999999	11550038
524	98603.48644	11550039
525	22854.54519	11550040
526	11747.52241	11550041
527	46368.246139999996	11550042
528	18231.392350000002	11550043
529	18814.61243	11550044
530	22841.792709999998	11550045
531	18482.76144	11550046
532	18572.7426	11550047
533	23060.36707	11550048
534	7999.54918	11550049
535	29245.793820000003	11550050
536	7965.527529999998	11550051
537	45199.88551000001	11550052
538	113287.62949	11550053
539	6753.7001900000005	11550055
540	8936.62267	11550080
541	8936.62267	11550081
542	72481.74625	11550082
543	5284.0417800000005	11550083
544	5675.576840000001	11550084
545	8147.1073799999995	11550085
546	74441.85749	11550086
547	74416.09849	11550087
548	24132.778459999998	11550088
549	24132.778459999998	11550089
550	24132.778459999998	11550090
551	99087.99031	11550091
552	81034.91877000002	11550092
553	74488.13236	11550032
554	78566.87257	11550093
555	22970.385909999997	11550095
556	36962.55482	11550096
557	16853.18817	11550097
558	13344.708069999999	11550098
559	16927.25365	11550099
560	114665.37567000001	11550100
561	136225.51933999997	11550101
562	115596.56902999998	11550102
563	18937.43249	11550094
564	74629.76551	11550031
789	26972.000519999994	11510013
844	7436.690789999999	11470012
845	63233.541800000006	11470013
847	6840.098529999998	11470015
849	23586.38975	11470017
852	22937.547010000002	11470020
853	18945.43938	11470021
860	15995.605870000003	11470007
865	6747.47788	11470005
887	71883.10141999999	11430003
888	3782.76604	11430004
890	83314.53431000002	11420002
904	82292.03585999999	11400004
905	69814.21133	11390007
906	73577.02782	11390008
907	157746.32529	11390009
908	73351.49142	11390006
909	69778.2291	11390005
910	90023.56847999999	11390003
911	157856.83292999998	11390001
912	157701.67839000002	11390002
913	89820.87260999999	11390004
1011	20588.237820000002	11340004
1012	6041.970630000002	11340001
1013	6285.279560000001	11340002
1015	110503.5716	11330001
1016	93289.45959	11330002
1017	114797.2301	11330003
1048	22889.117489999997	11290001
1049	23877.108799999995	11290002
1050	12777.54536	11290003
1051	25127.878089999995	11290004
1052	4207.381930000001	11290005
1053	29847.783680000004	11290006
1054	20644.0454	11290007
1055	4026.8747799999996	11290008
1056	10785.93578	11280007
1057	35532.66067	11280006
1058	19191.960300000002	11280005
1059	14975.333570000003	11280004
1060	39546.02878000001	11280003
1061	14461.5232	11280001
1062	16918.63767	11280002
1064	8557.494449999998	11270002
1065	89384.65361000001	11270003
1071	57372.92389	11260001
1077	62706.714210000006	11260007
1083	96725.47908	11260013
1089	120535.03103000003	11260019
1095	75147.10541999998	11260025
1101	28646.80686	11260031
1107	113963.89301	11250008
1108	122462.16363000001	11250007
1109	101316.5889	11250006
1110	80266.71238	11250004
1111	57569.46715	11250001
1113	98099.47520999999	11250003
1114	55389.71054	11250005
1151	26933.08052	11230001
1152	32589.82442	11230002
1155	12407.20638	11210005
1156	10747.59662	11210006
1157	8155.3544600000005	11210004
1158	11961.31565	11210003
1159	15822.695789999998	11210002
1160	18445.26943	11210001
1177	90731.72393000001	11190001
1178	3852.5877	11190002
1179	3852.5877	11190003
1180	5898.90317	11190004
1181	10908.00665	11190005
1182	45683.76418	11190006
1183	24571.255999999998	11190007
1184	23728.109669999998	11190008
1185	21460.62015	11190009
1186	23783.537379999998	11190010
1187	21188.7345	11190011
1188	11646.09077	11190012
1189	1848.4120000000003	11190013
1190	3555.5543900000002	11190014
1191	19678.16259	11190015
1192	5371.35637	11190016
1193	8267.64761	11190017
1194	54970.900910000004	11190018
1204	5481.07927	11160014
1205	43424.86521	11160015
1215	40367.80872	11160005
1232	95738.46334000002	11130002
1233	49057.103970000004	11130001
1234	13556.59723	11120001
1235	13630.90073	11110002
1236	14360.36673	11110001
1237	13933.1171	11100001
1238	20537.898979999998	11100002
1239	73430.251	11090001
1240	2635.94475	11090002
1241	35735.835750000006	11090003
1242	15612.288109999998	11090004
1243	572.6832	11090005
1245	3919.82603	11070001
1246	158203.61643000002	11070002
1251	39911.86419000001	11050001
1252	865.02784	11050002
1253	68671.74117999998	11050003
1254	84199.53446	11050004
1255	70659.65501	11040007
1256	7369.933899999999	11040008
1257	5332.56082	11040006
