name	code
Marine	1
Coastal systems	2
Inland wetlands	3
Rivers and lakes Biome	4
Tropical and subtropical forests	5
Temperate forests and woodlands	6
Boreal and montane forests and woodlands	7
Shrublands and shrubby woodlands	8
Rangelands, natural grasslands and savannas	9
Desert and semi-deserts	10
Polar-alpine	11
Subterranean	12
Intensive land use	13
Human made structures	14
Urban and Industrial areas	15
